,Time,User,Tweet
30,2022-11-29 18:21:16+00:00,1egoldspot,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
31,2022-11-29 18:19:32+00:00,Powells_Friend,"Trading signals recap :

Signals 3 and 4
145 and 60 handles 
205+ handles total

Who else gave you free signals that work ?

#nq #ndx #spx #qqq #NQ_F #NQ_F $ndx $spx https://t.co/3KaTLcZFs1"
32,2022-11-29 18:19:25+00:00,Rackets08,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
33,2022-11-29 18:17:00+00:00,Jake__Wujastyk,"$QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is important here. https://t.co/CQWOR8RW56"
34,2022-11-29 18:15:52+00:00,Powells_Friend,"Trading signals recap :

Signals 1 and 2
85 and 30 handles 
115+ handles total

Who else gave you free signals that work ?

#nq #ndx #spx #qqq #NQ_F #NQ_F $ndx $spx https://t.co/E3gxqZeYvv"
35,2022-11-29 17:45:07+00:00,trendalertsx,"🚨 $QQQ Trend Change Alert 🚨

📈 Over 60% of InsiderFinance indicators predict bull trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/4OqMAuV5J7"
36,2022-11-29 17:41:57+00:00,OmertaTrading,#NQ_F big short after downward opening and test VWAP on high volume clusters (yellow boxes 1 and 2) waited for confirmation and shorted after first down impulse. #QQQ #nasdaq #trading #daytrading #btc https://t.co/8efJjou8hS
37,2022-11-29 17:19:26+00:00,InvestingAngles,#Nasdaq = Micro Path #04 = 29.11.2022 $NDX #NDX #NQ $QQQ #QQQ #trading https://t.co/i12eQWBgFY
38,2022-11-29 17:18:16+00:00,NMinvestments,391 $spy at about 1:05pmest or earlier #goat #stockmarketcrash #StockMarket #stockstowatch #stockmarketnews #spy #qqq #dow #China #CovidVaccine
39,2022-11-29 17:04:10+00:00,BcafxG,"UPDATE 1

Crystal ball Prediction for #ES_F November 29, 2022 (US EDITION)

#spx $SPY #QQQ #SP500 #FED #FOMC #INFLATION #Trader https://t.co/PwEJx8TGwY https://t.co/pKyqF2fgeG"
40,2022-11-29 16:57:13+00:00,leedr4alll,Good luck trading this tape… wtf #spy #qqq
41,2022-11-29 16:45:36+00:00,zona_inversion,"Average of 200 days vs #QQQ 

#zona #StockMarket #EEUU 🇺🇸 https://t.co/0Zgmar8IDs"
42,2022-11-29 16:39:50+00:00,AjTrader7,RT @Whogirl1492: @AjTrader7 …Having AJ walk us down on #NVDA and #QQQ simultaneously was the best market education lesson by the best trade…
43,2022-11-29 16:36:08+00:00,_SoccerThoughts,Sell now! Sell it all!!! #SPY #SPX #QQQ #DIA https://t.co/ra3oVWzkPR
44,2022-11-29 16:34:37+00:00,Traders_Weekly,"#Nasdaq #NDX Top likely in, price targets re-activated, more downside awaits - #QQQ TradingView https://t.co/u6aEgx1RbG"
45,2022-11-29 16:31:26+00:00,BcafxG,"Crystal ball Prediction for #ES_F November 29, 2022 (US EDITION)

#spx $SPY #QQQ #SP500 #FED #FOMC #INFLATION #Trader https://t.co/ZDCcoQaxwa"
46,2022-11-29 16:26:12+00:00,Whogirl1492,"@AjTrader7 …Having AJ walk us down on #NVDA and #QQQ simultaneously was the best market education lesson by the best trader out there!  He teaches us daily…anyone who doesn’t know how to trade a market moving down should be here learning with us!  Thank you, AJ, 👏👏👏❤️❤️❤️"
47,2022-11-29 16:15:18+00:00,trendalertsx,"📉 $QQQ Bear Swing Signal 📉

🚀 Over 90% of InsiderFinance indicators predict bear trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/Og6zULMVET"
48,2022-11-29 16:11:24+00:00,notcameronscott,"Patience is 🔑, never rush into a trade and be sure you’re using data from multiple sources. More data = more strategy = more wins. Played QQQ for a 60 sec scalp to play into how I thought META would “catch up” with others in its sector. Scaled out #OptionsTrading #Meta #QQQ https://t.co/4HDSrLfS5w"
49,2022-11-29 16:10:36+00:00,KISS_RHINO,#ES_F #NQ_F #SPY #QQQ so true … https://t.co/nWcHYXzrxr
50,2022-11-29 16:07:03+00:00,toomuchALPHA,"Algos front running NVPOC... missed it by one tick and typical few pts back and ram it! at min one more leg down to knock that out so 

#ES_F #SPY #NQ_F #QQQ https://t.co/fWJeCornDR"
51,2022-11-29 15:45:28+00:00,NFTWor7d,"2.5 hrs waited till price target hit and scalped nicely on the way up! 

Thank you @tradertvshawn @tradertvneal @tradertvbrendan and Arun and the rest of the whole TraderTV Live Team 🙏🏼 I’m learning so much from you every day #Daytrader #QQQ #StockMarket #trading https://t.co/pU8B8Vug3E"
52,2022-11-29 15:39:14+00:00,toomuchALPHA,"DONT"" let this market head fake you! We are going down till that 
|NVPOC is repaired
3958.50 

I am setting up short im continue to short till that is hit period. 

#ES_F #SPY  #NQ_F #QQQ https://t.co/OpehkF8dn8"
53,2022-11-29 15:30:07+00:00,trendalertsx,"🚨 $QQQ Trend Change Alert 🚨

📈 Over 60% of InsiderFinance indicators predict bull trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/BJOYIbYEwc"
54,2022-11-29 15:27:58+00:00,MIKEROTCH404,RT @dxrk_knightDT: $MSFT hourly chart is showing us a nice head and shoulders forming off of that 240.71-.80 neckline area✍️ If we can get…
55,2022-11-29 15:15:09+00:00,trendalertsx,"🚨 $QQQ Trend Change Alert 🚨

📉 Over 60% of InsiderFinance indicators predict bear trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/SHAlaB8qMe"
56,2022-11-29 15:11:29+00:00,AnjelicoStrats,$ANJELICO STRAT LIVE$ #fed #jpow #spy #QQQ #es #nq #rty #iwm #stocks #algo https://t.co/R28qz8Xk5W
57,2022-11-29 15:02:30+00:00,KRtradess,#qqq made a call at 1.08 and sold at 1.24 I was worried for a minute Becuase #qqq made a lower low then jumped after about 10 long minutes.
58,2022-11-29 14:31:49+00:00,Ja______Ma,#SP500 #DJ #QQQ #EUR #GOLD #WTI #BTC #ETH #BNB https://t.co/4YAhLHSWVn
59,2022-11-29 14:23:47+00:00,leoventuresllc,#ipo #stocks #stockmarket #hedgefunds #speculation #investments #business #options #spy #qqq #dji #futures https://t.co/TeWzdTwwqT
60,2022-11-29 14:20:12+00:00,InvestiQuant,"There are only 2 trading days left in November, let's see how the second to last trading day has performed historically. #ES_F #SPY #SPX #MES_F #RTY_F #QQQ #NQ_F #MNQ_F #YM_F #Trading  #DayTrading   

https://t.co/pqef8cNwqT"
61,2022-11-29 14:00:16+00:00,Market_Timer,Stock Market Timing Television - 20221129 #SPY #DIA #QQQ #VIX #XIU.TO #SHOP #TSLA #AAPL #GOLD #CRUDE_OIL https://t.co/z9NrQLCHNy
62,2022-11-29 13:53:47+00:00,leoventuresllc,#nyse #cboe #spy #stockmarket #options #hedgefunds #money #stocks #investments #banking #qqq #dji https://t.co/CC9UvvBEf5
63,2022-11-29 13:49:54+00:00,mista82u,"$SPY - $QQQ - $TSLA - $AAPL.    You can see yesterday's action for 12/2 Exp was pretty mixed all around.   Maybe leaning bearish a bit... but no big money thrown around... too much uncertainty.

#OptionsTrading #stocks #stockmarkets #optiontrading 
#SPY #QQQ #TSLA #MSFT #AAPL https://t.co/pl1UcND4rf"
64,2022-11-29 13:46:29+00:00,mista82u,"$SPY - $QQQ options volume very low on Monday.   Everyone waiting for JPOW to speak Wednesday.  What he says will move the markets.   Wouldn't be long or short prior to.  Scalping is best option for today

#OptionsTrading #stocks #stockmarkets #optiontrading 
#SPY #QQQ #TSLA"
65,2022-11-29 13:37:21+00:00,houseofkoro,"#QQQ #Trading #plan
BULLS: Longs möchten PML verteidigen um über PMH 284.70 zu pushen. Danach 286-&gt;287-&gt;289
BEARS: Shorts möchten PMH verteidigen um unter PML 283 zu pushen. Danach 282-&gt;280-&gt;278-&gt;276
#TSLA #AAPL #NVDA https://t.co/3dHY7zlnpJ"
66,2022-11-29 13:27:03+00:00,gt3verse,"Total #Crypto Mkt Cap still needs to drop. Not even close yet.

Then accumulate, then 🚀

#BTC 
#SPX
#SPY
#QQQ
$BTC
$SPX
$SPY
$QQQ https://t.co/LABNK84jRv"
67,2022-11-29 13:24:36+00:00,NPurupuru,"期間限定の芋うますぎた😋

定番化しないかな🥹
店員さんには投げかけてみた🤣
売れ行き仕入れ状況によってはあり得るとのこと⸜( ˙꒳˙ )⸝.*☆

#QQQ https://t.co/SyNCTKYrQx"
68,2022-11-29 13:15:16+00:00,InvestiQuant,"There are only 2 trading days left in November, let's see how the second to last trading day has performed historically. #ES_F #SPY #SPX #MES_F #RTY_F #QQQ #NQ_F #MNQ_F #YM_F #iQDiscover #Trading  #DayTrading   

https://t.co/pqef8cNwqT"
69,2022-11-29 13:10:28+00:00,SupraFast7159,"$NQ_F $QQQ $TQQQ $SPY $ES_F Bull Setup idea during market open (if/after we retest lows)  #futures 
 
#SupraTrades #trading #indices #nq_f #qqq #ndx #tqqq #sqqq #es_f #spy #spx #spxl #spxs #vix #vx_f https://t.co/c4LUEbmCaQ"
70,2022-11-29 13:04:23+00:00,PaulAsmar5,"ES SPY AM 11/29/22. Trading between both distributions in the overnight.... https://t.co/qOqm5zeRzR via @YouTube

Knockem DEAD 💀 Traders. https://t.co/uxkBQYwDxN #ES_F #SPY #QQQ #NQ #RTY #IWM #windotrader #futures #stocks #options #algothealligator #daytrading"
71,2022-11-29 13:03:44+00:00,SupraFast7159,"$NQ_F $QQQ $TQQQ $SPY $ES_F Short Move idea # 
 
#SupraTrades #futures 
Now for the retest of lows for the short move.  Then we can buy it back up later from there during market open. 
 
#trading #indices #nq_f #qqq #ndx #tqqq #sqqq #es_f #spy #spx #spxl #spxs #vix #vx_f https://t.co/RFphWyzzuW"
72,2022-11-29 11:44:22+00:00,MoatenSo3ode,جاهزين اليوم للتداول بصمت ؟ #QQQ #SPY
73,2022-11-29 11:37:46+00:00,JADunigan2,1)B&amp;B: (1) #Fed: #US #economic #resilience underestimated (2) #Shoulder #season + #Obama #analog = less headwind; #SPY 400-420 CS; sht #QQQ/SPY (derating); lng #XLI/XLE (permitting reform); lng #XRT/RSP; lng #EWG/EFA (war ends); #CL 75-60 PS; #BTC 20K calls (‘blood in streets’).
74,2022-11-29 11:14:46+00:00,topstonks,"$QQQ working its way into the top 10 most mentioned on wallstreetbets over the last 7 daysVia https://t.co/DCtZrsfnR9#qqq    #wallstreetbets  #trading https://t.co/GBlheyL5jx"
75,2022-11-29 10:07:39+00:00,Old_Timer64,RT @VeteranWallSt: $9600 today in $ES trading + another $5k for $SPX Debit Spread...$15K on the week so far &amp; I'm focused on helping our IT…
76,2022-11-29 08:43:02+00:00,Didikpluss,"RT @GetYaFaceMelted: $SOFI at 4.69$ , strong buy vibes atm.

Company performance &amp; growth have been exceptional this year in a really tough…"
77,2022-11-29 08:22:56+00:00,BcafxG,"Crystal ball Prediction for #ES_F November 29, 2022
#spx $SPY #QQQ #SP500 #FED #FOMC #INFLATION #Trader 
🔮🔮🔮🔮 https://t.co/IHwdA45X6s"
78,2022-11-29 08:02:43+00:00,AsylumDrone,RT @leoventuresllc: #nyse #cboe #spy #stockmarket #options #hedgefunds #money #stocks #investments #banking #qqq #dji https://t.co/seJa5rUX…
79,2022-11-29 08:02:38+00:00,AsylumDrone,RT @leoventuresllc: #ipo #stocks #stockmarket #hedgefunds #speculation #investments #business #options #spy #qqq #dji #futures https://t.co…
80,2022-11-29 07:53:47+00:00,leoventuresllc,#ipo #stocks #stockmarket #hedgefunds #speculation #investments #business #options #spy #qqq #dji #futures https://t.co/GQ1xWXuA2A
81,2022-11-29 07:49:41+00:00,jeanmarc3,"#SPX500 #QQQ #SP500  #NASDAQ #NASDAQ100
On continue le ping pong entre les niveaux en attendant le PIB ,le logement et Powell demain ? Ca me parait plausible ... https://t.co/vtHJ76sAK3"
82,2022-11-29 07:23:47+00:00,leoventuresllc,#nyse #cboe #spy #stockmarket #options #hedgefunds #money #stocks #investments #banking #qqq #dji https://t.co/seJa5rUXih
83,2022-11-29 05:57:08+00:00,SICideas,"Trade Idea : QQQ 270p 12/09 or 12/16
#QQQ #StockMarket #POOTZ"
84,2022-11-29 05:47:29+00:00,MrShhrrrr,"RT @TTOiltrading: Trade Plan 29/11/2022: FEB $Brent/ JAN $WTI

1. Long&gt; 8310/7620, Target 8500/7800

2. Below 8260/7570, we test 8090/7360…"
85,2022-11-29 05:32:29+00:00,solartradingedu,RT @optionsking430: $QQQ #QQQ Head and shoulders forming on 3m timeframe. Expecting a pullback to the downside at open to 282.30 before ral…
86,2022-11-29 04:34:23+00:00,NMinvestments,Ask yourself. Why would China build covid camps then be like “nahhh nvm restrictions are lifted” bulls are grasping at straws. #spy #China #qqq dump tomorrow
87,2022-11-29 04:26:34+00:00,TraderCloudy,"My ES+NQ plan for Tuesday is out!

ADR:
3996-3948 (ES)
11723-11526 (NQ)

Momentum: 🐻 
Bearish momentum means I am only looking for shorts. (Not a prediction of days direction.) 

#SPX #SPY #ES_F #ICT #QQQ #scalping #daytrading #tradingplan #ndx #nq_f #priceaction #tradingview https://t.co/tPV8kn8dfg"
88,2022-11-29 04:25:36+00:00,dxrk_knightDT,"$MSFT hourly chart is showing us a nice head and shoulders forming off of that 240.71-.80 neckline area✍️ If we can get that right shoulder confirmation then we could see a nice bloody🩸move here 🎯🎯🎯
@thewealthwolves 
#SPY #SPX #QQQ #AAPL https://t.co/6n71JdFOeO"
89,2022-11-29 04:05:41+00:00,VeteranWallSt,"$9600 today in $ES trading + another $5k for $SPX Debit Spread...$15K on the week so far &amp; I'm focused on helping our ITG Members finish November strong!!!
#TradersHelpingTraders #ITG #SPX #SPY #ES #QQQ #NDX #NQ #IWM #TLT #VIX https://t.co/NxVI39HBYc"
90,2022-11-29 03:56:17+00:00,NMinvestments,If China locks down is a fucking wrap for us. #spy #qqq https://t.co/EG8wwpI4vf
91,2022-11-29 03:39:15+00:00,SendElonToMars,@Apple @elonmusk #QQQ #SPY #SPX #NDX @tim_cook Advertisers who have left Twitter - Red Asterisks to show who won't be around in 10 years whether from buyout or failure. https://t.co/qDYsJSZGGU
92,2022-11-29 03:18:41+00:00,tevez_suarez,"RT @DanielMuvdiYT: En 20 minutos #LaApertura  del mercado análisis técnico, fundamental y estrategias intradía!

Bot de señales, nuevas est…"
93,2022-11-29 03:17:39+00:00,tevez_suarez,RT @DanielMuvdiYT: Recordatorio: El mercado mañana 24 de Noviembre estará Cerrado por el dia de accion de gracias y el VIernes 25 abrirá ha…
94,2022-11-29 03:05:54+00:00,yochan_g1,"アメブロを投稿しました。
『日経平均 中国のコロナ規制抗議活動拡大で、ちょっとヤバイ！』

#米国株
#株式投資
#日経平均
#NYダウ
#NASDAQ 
#SP500
#レバナス 
#VYM
#HDV
#QQQ 
#VOO 
#VGT
#VUG
#VTI
#ARK 
#SOX
#CPI
#FRB
#FOMC
#Amazon

 https://t.co/RdTY8g4Wvv"
95,2022-11-29 02:58:59+00:00,Linkedplays,"Second options trading video link here 

Link:https://t.co/PV6bDaenJ2

#OptionsTrading 
#SPY
#QQQ
#bitcoin
#bearmarket
#stockwizard
#swingtrade
#daytrade
#4kto40k"
96,2022-11-29 02:57:31+00:00,Linkedplays,"TWO NEW VIDEOS DROPPED TODAY FOR YOU GUYS 

Here is the first one

Link: https://t.co/GpQsevxOmI

#OptionsTrading 
#SPY
#QQQ
#bitcoin
#bearmarket
#stockwizard
#swingtrade
#daytrade
#4kto40k"
97,2022-11-29 02:51:00+00:00,TTOiltrading,"Trade Plan 29/11/2022: FEB $Brent/ JAN $WTI

1. Long&gt; 8310/7620, Target 8500/7800

2. Below 8260/7570, we test 8090/7360

3. Now 8410/7725

4. Like and RT

#Brent #WTI #CL_F #Oil #OOTT #oilandgas #SPY #QQQ $ES_F $ES $SPX $SPY $QQQ $CL_F #原油"
98,2022-11-29 02:34:04+00:00,tejasp_mov,"Hate to say $NDX might keep drifting up to the 200 day moving average until the Dec. 14 FOMC meeting. Bullish cross of the 30 (orange) and 50 (blue) forming. RSI above 50. Maybe too early to tell, let's see what Powell says on Wednesday! #FOMC #QQQ https://t.co/bgzsgfjrSK"
99,2022-11-29 02:28:33+00:00,Johnjohntrades,"RT @Unbearabull2: $AMC $APE 

#Breakout 🥳

#AMC #APE #GME #HYMC #ZM #DIS #SPY #QQQ #Bullrun https://t.co/e58dBE4an5"
100,2022-11-29 02:16:36+00:00,q68166618,#qqqqqqqqq ffffff hhhh #qqq jjjj kkk bbbb ggggggg #ddddd kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
101,2022-11-29 01:43:45+00:00,topstonks,"$QQQ was the 4th most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/DCtZrsfnR9#qqq    #wallstreetbets  #investors https://t.co/GMpD1RFqnx"
102,2022-11-29 01:42:33+00:00,R1chTradez,RT @optionsking430: $QQQ #QQQ Head and shoulders forming on 3m timeframe. Expecting a pullback to the downside at open to 282.30 before ral…
103,2022-11-29 01:36:03+00:00,optionsking430,"$QQQ #QQQ LEVELS TO WATCH

Calls &gt; 282.83; Targets: 283.19, 283.66, 284.14.

Puts &lt; 281.77; Targets: 281.28, 280.57, 279.85.

#stocks #trading"
104,2022-11-29 01:36:02+00:00,optionsking430,"$QQQ #QQQ Head and shoulders forming on 3m timeframe. Expecting a pullback to the downside at open to 282.30 before rallying back up for the right shoulder formation. Wait for a break above neckline (282.83) for confirmation break to the upside.

#stocks #trading https://t.co/kOcMua6yUb"
105,2022-11-29 01:26:02+00:00,lovehawties,"RT @Unbearabull2: $AMC $APE 

#Breakout 🥳

#AMC #APE #GME #HYMC #ZM #DIS #SPY #QQQ #Bullrun https://t.co/e58dBE4an5"
106,2022-11-29 01:23:48+00:00,leoventuresllc,#ipo #stocks #stockmarket #hedgefunds #speculation #investments #business #options #spy #qqq #dji #futures https://t.co/mXqcSHDkQ7
107,2022-11-29 00:59:22+00:00,Unbearabull2,"$AMC $APE 

#Breakout 🥳

#AMC #APE #GME #HYMC #ZM #DIS #SPY #QQQ #Bullrun https://t.co/e58dBE4an5"
108,2022-11-29 00:54:35+00:00,kumasenpai1,"米国株市場は下落。
年始の最高値圏から
SP500 #VOO　-17.14％（前日比-1.58％）
ナスダック100 #QQQ　-29.62％（-1.47％）
ダウ #DIA　-7.44％（-1.46％）
全世界 #VT　-18.31％（-1.44％）

中国の景気悪化懸念等で、3指数ともに下落。
ドル円は138円台と円高方向に。 https://t.co/BifuPd4AOH"
109,2022-11-29 00:53:47+00:00,leoventuresllc,#nyse #cboe #spy #stockmarket #options #hedgefunds #money #stocks #investments #banking #qqq #dji https://t.co/aDAhNN2Vzk
110,2022-11-29 00:33:42+00:00,topstonks,"$QQQ working its way into the top 10 most mentioned on wallstreetbets over the last 7 daysVia https://t.co/DCtZrsfnR9#qqq    #wallstreetbets  #stock https://t.co/MPsjtmLy6Z"
111,2022-11-29 00:20:30+00:00,InvestingAngles,RT @InvestingAngles: #Nasdaq = Micro Path = 28.11.2022 $NDX #NDX #NQ $QQQ #QQQ #trading https://t.co/8P9634bT2M
112,2022-11-29 00:10:25+00:00,mista82u,"We may see a small rally where $SPY hits 410 or so...but it will be temporary so that these furu🤡's become exit liquidity for MM's come year end. 

#OptionsTrading #stocks #stockmarkets #optiontrading 
#SPY #QQQ #TSLA #MSFT #AAPL #AMZN https://t.co/Er0FdZYgdG"
113,2022-11-29 00:01:55+00:00,DRAKOCHARTS,RT @Icarus_Entity: $TSLA - PM trading seems to be showing a resistance level at $180.00. Real time quotes thanks to @WebullGlobal and this…
114,2022-11-29 00:00:04+00:00,no_salaryman,"RT @toyokotoshi: HEAT MAP-US major Index / Stocks (2022.11.28) 

https://t.co/wkb8iQUw1j 

#米国株 #ヒートマップ #株式投資 #米国株投資 #米国株ヒートマップ #アメリカ株  #VT…"
